frequency	e'	e''	u'	u''
2000000000.0000	  10.1714	   9.6176	   1.1680	   0.1093
2080000000.0000	   9.9750	   9.4274	   1.1611	   0.1163
2160000000.0000	   9.8208	   9.2670	   1.1645	   0.1152
2240000000.0000	   9.6849	   9.0781	   1.1553	   0.1204
2320000000.0000	   9.5241	   8.9211	   1.1442	   0.1105
2400000000.0000	   9.4467	   8.7787	   1.1308	   0.0970
2480000000.0000	   9.3182	   8.6320	   1.1223	   0.0889
2560000000.0000	   9.2320	   8.5253	   1.1227	   0.0706
2640000000.0000	   9.1243	   8.3943	   1.1123	   0.0721
2720000000.0000	   9.0157	   8.3041	   1.1210	   0.0625
2800000000.0000	   8.9562	   8.1905	   1.1102	   0.0592
2880000000.0000	   8.8374	   8.0861	   1.1120	   0.0603
2960000000.0000	   8.7833	   8.0048	   1.1072	   0.0520
3040000000.0000	   8.6939	   7.8803	   1.1047	   0.0585
3120000000.0000	   8.6068	   7.8199	   1.1056	   0.0508
3200000000.0000	   8.5410	   7.7143	   1.0910	   0.0513
3280000000.0000	   8.4469	   7.6508	   1.0959	   0.0578
3360000000.0000	   8.3966	   7.5682	   1.0870	   0.0497
3440000000.0000	   8.2867	   7.4721	   1.0823	   0.0573
3520000000.0000	   8.2242	   7.4289	   1.0804	   0.0564
3600000000.0000	   8.1488	   7.3245	   1.0753	   0.0596
3680000000.0000	   8.0544	   7.2659	   1.0774	   0.0589
3760000000.0000	   7.9781	   7.1894	   1.0691	   0.0581
3840000000.0000	   7.8819	   7.1218	   1.0689	   0.0624
3920000000.0000	   7.8086	   7.0590	   1.0655	   0.0614
4000000000.0000	   7.7148	   6.9788	   1.0676	   0.0637
4080000000.0000	   7.6218	   6.9254	   1.0681	   0.0644
4160000000.0000	   7.5296	   6.8559	   1.0694	   0.0650
4240000000.0000	   7.4506	   6.8019	   1.0734	   0.0673
4320000000.0000	   7.3582	   6.7225	   1.0751	   0.0685
4400000000.0000	   7.2682	   6.6683	   1.0816	   0.0693
4480000000.0000	   7.1773	   6.5990	   1.0823	   0.0710
4560000000.0000	   7.0786	   6.5413	   1.0897	   0.0745
4640000000.0000	   7.0030	   6.4899	   1.0935	   0.0755
4720000000.0000	   6.9031	   6.4248	   1.1012	   0.0812
4800000000.0000	   6.8267	   6.3986	   1.1061	   0.0787
4880000000.0000	   6.7555	   6.3244	   1.1108	   0.0837
4960000000.0000	   6.6671	   6.2984	   1.1167	   0.0811
5040000000.0000	   6.6219	   6.2449	   1.1163	   0.0844
5120000000.0000	   6.5352	   6.2032	   1.1241	   0.0873
5200000000.0000	   6.4873	   6.1709	   1.1240	   0.0840
5280000000.0000	   6.4235	   6.1157	   1.1267	   0.0895
5360000000.0000	   6.3714	   6.0934	   1.1275	   0.0851
5440000000.0000	   6.3284	   6.0464	   1.1226	   0.0865
5520000000.0000	   6.2842	   6.0239	   1.1221	   0.0869
5600000000.0000	   6.2612	   5.9867	   1.1139	   0.0853
5680000000.0000	   6.2221	   5.9443	   1.1138	   0.0857
5760000000.0000	   6.1974	   5.9299	   1.1041	   0.0802
5840000000.0000	   6.1668	   5.8939	   1.0994	   0.0797
5920000000.0000	   6.1514	   5.8831	   1.0956	   0.0747
6000000000.0000	   6.1366	   5.8405	   1.0871	   0.0699
6080000000.0000	   6.0945	   5.8392	   1.0827	   0.0646
6160000000.0000	   6.1070	   5.8121	   1.0739	   0.0622
6240000000.0000	   6.0658	   5.7878	   1.0733	   0.0565
6320000000.0000	   6.0589	   5.7715	   1.0653	   0.0490
6400000000.0000	   6.0294	   5.7500	   1.0604	   0.0467
6480000000.0000	   6.0119	   5.7368	   1.0582	   0.0390
6560000000.0000	   5.9950	   5.6976	   1.0530	   0.0359
6640000000.0000	   5.9480	   5.6937	   1.0519	   0.0291
6720000000.0000	   5.9337	   5.6724	   1.0471	   0.0260
6800000000.0000	   5.8972	   5.6585	   1.0471	   0.0216
6880000000.0000	   5.8640	   5.6297	   1.0456	   0.0169
6960000000.0000	   5.8253	   5.6020	   1.0463	   0.0141
7040000000.0000	   5.7962	   5.5903	   1.0455	   0.0081
7120000000.0000	   5.7557	   5.5425	   1.0451	   0.0073
7200000000.0000	   5.7114	   5.5323	   1.0487	   0.0038
7280000000.0000	   5.6787	   5.4853	   1.0488	   0.0033
7360000000.0000	   5.6182	   5.4609	   1.0546	   0.0000
7440000000.0000	   5.5970	   5.4252	   1.0533	  -0.0009
7520000000.0000	   5.5327	   5.3803	   1.0601	   0.0006
7600000000.0000	   5.5029	   5.3547	   1.0616	  -0.0029
7680000000.0000	   5.4595	   5.2850	   1.0660	   0.0019
7760000000.0000	   5.3983	   5.2626	   1.0724	   0.0013
7840000000.0000	   5.3790	   5.2012	   1.0750	   0.0040
7920000000.0000	   5.3083	   5.1622	   1.0832	   0.0061
8000000000.0000	   5.2842	   5.1312	   1.0850	   0.0072
8080000000.0000	   5.2331	   5.0710	   1.0916	   0.0129
8160000000.0000	   5.1920	   5.0456	   1.0960	   0.0134
8240000000.0000	   5.1653	   4.9945	   1.0990	   0.0199
8320000000.0000	   5.1157	   4.9600	   1.1078	   0.0222
8400000000.0000	   5.0848	   4.9199	   1.1102	   0.0240
8480000000.0000	   5.0353	   4.8943	   1.1153	   0.0268
8560000000.0000	   5.0047	   4.8677	   1.1167	   0.0314
8640000000.0000	   4.9714	   4.8325	   1.1212	   0.0339
8720000000.0000	   4.9224	   4.8174	   1.1255	   0.0350
8800000000.0000	   4.8836	   4.8056	   1.1282	   0.0353
8880000000.0000	   4.8464	   4.8046	   1.1299	   0.0354
8960000000.0000	   4.8131	   4.7815	   1.1330	   0.0368
9040000000.0000	   4.7606	   4.7930	   1.1377	   0.0322
9120000000.0000	   4.7293	   4.7821	   1.1382	   0.0321
9200000000.0000	   4.6662	   4.7757	   1.1438	   0.0295
9280000000.0000	   4.6383	   4.7795	   1.1428	   0.0288
9360000000.0000	   4.5725	   4.7636	   1.1495	   0.0289
9440000000.0000	   4.5324	   4.7832	   1.1493	   0.0211
9520000000.0000	   4.4950	   4.7396	   1.1503	   0.0244
9600000000.0000	   4.4355	   4.7419	   1.1527	   0.0205
9680000000.0000	   4.4223	   4.7186	   1.1494	   0.0220
9760000000.0000	   4.3580	   4.6856	   1.1562	   0.0230
9840000000.0000	   4.3166	   4.6631	   1.1563	   0.0201
9920000000.0000	   4.2690	   4.6147	   1.1612	   0.0243
10000000000.0000	   4.2314	   4.6039	   1.1632	   0.0216
10080000000.0000	   4.2209	   4.5423	   1.1631	   0.0276
10160000000.0000	   4.1551	   4.5039	   1.1711	   0.0288
10240000000.0000	   4.1389	   4.4506	   1.1696	   0.0330
10320000000.0000	   4.0916	   4.3844	   1.1773	   0.0404
10400000000.0000	   4.0644	   4.3327	   1.1798	   0.0457
10480000000.0000	   4.0405	   4.2507	   1.1840	   0.0559
10560000000.0000	   3.9893	   4.1857	   1.1937	   0.0649
10640000000.0000	   3.9701	   4.1036	   1.1950	   0.0774
10720000000.0000	   3.9565	   4.0339	   1.1975	   0.0901
10800000000.0000	   3.9359	   3.9404	   1.1993	   0.1059
10880000000.0000	   3.9286	   3.8760	   1.1966	   0.1178
10960000000.0000	   3.9431	   3.7828	   1.1903	   0.1367
11040000000.0000	   3.9455	   3.7093	   1.1832	   0.1493
11120000000.0000	   3.9931	   3.6436	   1.1676	   0.1592
11200000000.0000	   3.9998	   3.5723	   1.1573	   0.1710
11280000000.0000	   4.0556	   3.5583	   1.1375	   0.1672
11360000000.0000	   4.1124	   3.5106	   1.1219	   0.1716
11440000000.0000	   4.1296	   3.5308	   1.1119	   0.1598
11520000000.0000	   4.2070	   3.5294	   1.0921	   0.1523
11600000000.0000	   4.2049	   3.5481	   1.0910	   0.1427
11680000000.0000	   4.2391	   3.6102	   1.0803	   0.1266
11760000000.0000	   4.2282	   3.5835	   1.0773	   0.1288
11840000000.0000	   4.1978	   3.6613	   1.0735	   0.1076
11920000000.0000	   4.2679	   3.6501	   1.0491	   0.1019
12000000000.0000	   4.2668	   3.6701	   1.0465	   0.0765
12080000000.0000	   4.2935	   3.8031	   1.0497	   0.0416
12160000000.0000	   4.2459	   3.8429	   1.0613	   0.0335
12240000000.0000	   4.1786	   3.9176	   1.0718	   0.0171
12320000000.0000	   4.1469	   3.9343	   1.0761	   0.0116
12400000000.0000	   4.0724	   3.9576	   1.0866	   0.0034
12480000000.0000	   4.0274	   3.9804	   1.0903	  -0.0064
12560000000.0000	   3.9744	   3.9697	   1.0973	  -0.0092
12640000000.0000	   3.9056	   3.9774	   1.1055	  -0.0184
12720000000.0000	   3.8755	   3.9787	   1.1089	  -0.0243
12800000000.0000	   3.8192	   3.9573	   1.1178	  -0.0261
12880000000.0000	   3.7694	   3.9520	   1.1260	  -0.0339
12960000000.0000	   3.7424	   3.9331	   1.1305	  -0.0364
13040000000.0000	   3.6946	   3.8949	   1.1410	  -0.0391
13120000000.0000	   3.6602	   3.9058	   1.1451	  -0.0477
13200000000.0000	   3.6454	   3.8508	   1.1510	  -0.0417
13280000000.0000	   3.5832	   3.8357	   1.1628	  -0.0500
13360000000.0000	   3.6006	   3.8333	   1.1596	  -0.0496
13440000000.0000	   3.5473	   3.7707	   1.1750	  -0.0456
13520000000.0000	   3.5450	   3.8066	   1.1736	  -0.0544
13600000000.0000	   3.5615	   3.7441	   1.1779	  -0.0429
13680000000.0000	   3.5109	   3.7410	   1.1890	  -0.0507
13760000000.0000	   3.5500	   3.7271	   1.1851	  -0.0456
13840000000.0000	   3.5131	   3.6814	   1.1986	  -0.0408
13920000000.0000	   3.5266	   3.7036	   1.1964	  -0.0435
14000000000.0000	   3.5226	   3.6432	   1.2034	  -0.0296
14080000000.0000	   3.4833	   3.6611	   1.2082	  -0.0345
14160000000.0000	   3.5043	   3.6294	   1.2060	  -0.0245
14240000000.0000	   3.4512	   3.5936	   1.2186	  -0.0207
14320000000.0000	   3.4573	   3.5823	   1.2177	  -0.0179
14400000000.0000	   3.4291	   3.5305	   1.2312	  -0.0103
14480000000.0000	   3.3938	   3.4991	   1.2437	  -0.0037
14560000000.0000	   3.3556	   3.4446	   1.2571	   0.0096
14640000000.0000	   3.3228	   3.3889	   1.2650	   0.0251
14720000000.0000	   3.2963	   3.3139	   1.2716	   0.0442
14800000000.0000	   3.2589	   3.2643	   1.2803	   0.0524
14880000000.0000	   3.2436	   3.1892	   1.2865	   0.0695
14960000000.0000	   3.1858	   3.1294	   1.3042	   0.0783
15040000000.0000	   3.1885	   3.0757	   1.3072	   0.0944
15120000000.0000	   3.1344	   2.9887	   1.3255	   0.1146
15200000000.0000	   3.1178	   2.9555	   1.3297	   0.1226
15280000000.0000	   3.1047	   2.8600	   1.3377	   0.1512
15360000000.0000	   3.0605	   2.8147	   1.3481	   0.1606
15440000000.0000	   3.0773	   2.7420	   1.3444	   0.1865
15520000000.0000	   3.0332	   2.6740	   1.3568	   0.2028
15600000000.0000	   3.0599	   2.6371	   1.3452	   0.2185
15680000000.0000	   3.0494	   2.5380	   1.3476	   0.2479
15760000000.0000	   3.0493	   2.5193	   1.3417	   0.2526
15840000000.0000	   3.0873	   2.4411	   1.3250	   0.2803
15920000000.0000	   3.0764	   2.4006	   1.3239	   0.2905
16000000000.0000	   3.1394	   2.3614	   1.2982	   0.3048
16080000000.0000	   3.1432	   2.2905	   1.2908	   0.3249
16160000000.0000	   3.1866	   2.2810	   1.2683	   0.3263
16240000000.0000	   3.2392	   2.2182	   1.2463	   0.3464
16320000000.0000	   3.2694	   2.1969	   1.2305	   0.3471
16400000000.0000	   3.3372	   2.1499	   1.2034	   0.3581
16480000000.0000	   3.3689	   2.1144	   1.1859	   0.3638
16560000000.0000	   3.4362	   2.0934	   1.1608	   0.3654
16640000000.0000	   3.4841	   2.0506	   1.1411	   0.3727
16720000000.0000	   3.5392	   2.0292	   1.1200	   0.3712
16800000000.0000	   3.5850	   1.9969	   1.1001	   0.3742
16880000000.0000	   3.6327	   1.9745	   1.0823	   0.3744
16960000000.0000	   3.6819	   1.9454	   1.0651	   0.3734
17040000000.0000	   3.7227	   1.9348	   1.0502	   0.3692
17120000000.0000	   3.7691	   1.9003	   1.0344	   0.3713
17200000000.0000	   3.7905	   1.8960	   1.0257	   0.3651
17280000000.0000	   3.8503	   1.8772	   1.0069	   0.3627
17360000000.0000	   3.8552	   1.8604	   1.0049	   0.3607
17440000000.0000	   3.8980	   1.8742	   0.9924	   0.3513
17520000000.0000	   3.9081	   1.8336	   0.9863	   0.3545
17600000000.0000	   3.9221	   1.8610	   0.9827	   0.3416
17680000000.0000	   3.9645	   1.8339	   0.9702	   0.3419
17760000000.0000	   3.9429	   1.8429	   0.9756	   0.3356
17840000000.0000	   3.9918	   1.8492	   0.9625	   0.3267
17920000000.0000	   3.9774	   1.8159	   0.9649	   0.3293
18000000000.0000	   3.9956	   1.8673	   0.9626	   0.3140
