frequency	e'	e''	u'	u''
2000000000.0000	  21.5628	  21.2141	   1.2268	   0.0206
2080000000.0000	  21.1228	  20.9244	   1.2205	   0.0192
2160000000.0000	  20.7945	  20.7458	   1.2263	   0.0047
2240000000.0000	  20.4848	  20.4750	   1.2257	  -0.0000
2320000000.0000	  20.1107	  20.2722	   1.2251	  -0.0151
2400000000.0000	  19.8842	  20.0899	   1.2204	  -0.0246
2480000000.0000	  19.5307	  19.8691	   1.2159	  -0.0276
2560000000.0000	  19.3154	  19.7439	   1.2144	  -0.0433
2640000000.0000	  19.0179	  19.5179	   1.2025	  -0.0390
2720000000.0000	  18.7571	  19.4273	   1.2081	  -0.0499
2800000000.0000	  18.5644	  19.2518	   1.1969	  -0.0539
2880000000.0000	  18.2809	  19.1429	   1.1975	  -0.0581
2960000000.0000	  18.1247	  19.0610	   1.1923	  -0.0683
3040000000.0000	  17.8744	  18.8772	   1.1901	  -0.0660
3120000000.0000	  17.6533	  18.8510	   1.1902	  -0.0771
3200000000.0000	  17.4367	  18.6624	   1.1786	  -0.0749
3280000000.0000	  17.1454	  18.6639	   1.1859	  -0.0748
3360000000.0000	  17.0195	  18.5530	   1.1759	  -0.0834
3440000000.0000	  16.6913	  18.3781	   1.1725	  -0.0756
3520000000.0000	  16.4741	  18.3735	   1.1712	  -0.0781
3600000000.0000	  16.2676	  18.1775	   1.1651	  -0.0760
3680000000.0000	  16.0130	  18.1220	   1.1648	  -0.0805
3760000000.0000	  15.8190	  17.9866	   1.1548	  -0.0839
3840000000.0000	  15.5157	  17.9057	   1.1586	  -0.0822
3920000000.0000	  15.2970	  17.8658	   1.1571	  -0.0880
4000000000.0000	  15.0435	  17.7231	   1.1583	  -0.0888
4080000000.0000	  14.7333	  17.6570	   1.1604	  -0.0883
4160000000.0000	  14.4619	  17.5723	   1.1633	  -0.0915
4240000000.0000	  14.1996	  17.5416	   1.1690	  -0.0944
4320000000.0000	  13.9363	  17.3977	   1.1700	  -0.0958
4400000000.0000	  13.6650	  17.3474	   1.1761	  -0.1002
4480000000.0000	  13.3871	  17.2203	   1.1773	  -0.1002
4560000000.0000	  13.0828	  17.1523	   1.1848	  -0.1029
4640000000.0000	  12.8341	  17.0793	   1.1883	  -0.1058
4720000000.0000	  12.5229	  16.9640	   1.1963	  -0.1059
4800000000.0000	  12.2436	  16.9659	   1.2017	  -0.1134
4880000000.0000	  12.0110	  16.8458	   1.2069	  -0.1140
4960000000.0000	  11.7240	  16.8361	   1.2115	  -0.1230
5040000000.0000	  11.5408	  16.7652	   1.2119	  -0.1249
5120000000.0000	  11.2595	  16.6935	   1.2187	  -0.1283
5200000000.0000	  11.0819	  16.6775	   1.2173	  -0.1367
5280000000.0000	  10.8552	  16.5582	   1.2210	  -0.1365
5360000000.0000	  10.6395	  16.5934	   1.2217	  -0.1482
5440000000.0000	  10.4705	  16.5177	   1.2190	  -0.1515
5520000000.0000	  10.2810	  16.5181	   1.2187	  -0.1582
5600000000.0000	  10.1482	  16.4674	   1.2125	  -0.1628
5680000000.0000	   9.9576	  16.4198	   1.2142	  -0.1684
5760000000.0000	   9.8350	  16.4239	   1.2055	  -0.1753
5840000000.0000	   9.6615	  16.3781	   1.2035	  -0.1803
