frequency	e'	e''	u'	u''
2000000000.0000	  14.7998	  17.4428	   1.1847	   0.1133
2080000000.0000	  14.4707	  17.1271	   1.1797	   0.1140
2160000000.0000	  14.2110	  16.8836	   1.1898	   0.1045
2240000000.0000	  13.9758	  16.5975	   1.1950	   0.1039
2320000000.0000	  13.6887	  16.3486	   1.1989	   0.0945
2400000000.0000	  13.5216	  16.1300	   1.1994	   0.0923
2480000000.0000	  13.2880	  15.8815	   1.1973	   0.0983
2560000000.0000	  13.1351	  15.7067	   1.1998	   0.0929
2640000000.0000	  12.9571	  15.4839	   1.1878	   0.1098
2720000000.0000	  12.7994	  15.3650	   1.1932	   0.1117
2800000000.0000	  12.7135	  15.2025	   1.1758	   0.1226
2880000000.0000	  12.5359	  15.0980	   1.1695	   0.1344
2960000000.0000	  12.4613	  15.0536	   1.1502	   0.1367
3040000000.0000	  12.3063	  14.9499	   1.1293	   0.1533
3120000000.0000	  12.1357	  14.9987	   1.1079	   0.1502
3200000000.0000	  11.9524	  14.9669	   1.0672	   0.1520
3280000000.0000	  11.6408	  15.0177	   1.0478	   0.1481
3360000000.0000	  11.3808	  15.0203	   1.0130	   0.1206
3440000000.0000	  10.9605	  14.8996	   0.9899	   0.1052
3520000000.0000	  10.5797	  14.8259	   0.9814	   0.0739
3600000000.0000	  10.2322	  14.5737	   0.9774	   0.0471
3680000000.0000	   9.8761	  14.3312	   0.9893	   0.0201
3760000000.0000	   9.6177	  14.0233	   0.9946	   0.0012
3840000000.0000	   9.3648	  13.7226	   1.0141	  -0.0051
3920000000.0000	   9.2048	  13.4531	   1.0291	  -0.0133
4000000000.0000	   9.0599	  13.1655	   1.0455	  -0.0131
4080000000.0000	   8.9198	  12.9348	   1.0590	  -0.0088
4160000000.0000	   8.8058	  12.7137	   1.0715	  -0.0043
4240000000.0000	   8.7151	  12.5457	   1.0842	   0.0024
4320000000.0000	   8.6182	  12.3509	   1.0911	   0.0091
4400000000.0000	   8.5112	  12.2146	   1.1009	   0.0145
4480000000.0000	   8.4087	  12.0658	   1.1029	   0.0222
4560000000.0000	   8.2805	  11.9455	   1.1104	   0.0289
4640000000.0000	   8.1851	  11.8394	   1.1132	   0.0336
4720000000.0000	   8.0521	  11.7214	   1.1192	   0.0416
4800000000.0000	   7.9273	  11.6716	   1.1227	   0.0404
4880000000.0000	   7.8256	  11.5577	   1.1248	   0.0457
4960000000.0000	   7.6712	  11.5130	   1.1288	   0.0423
5040000000.0000	   7.5922	  11.4361	   1.1255	   0.0444
5120000000.0000	   7.4400	  11.3581	   1.1313	   0.0454
5200000000.0000	   7.3410	  11.3227	   1.1288	   0.0389
5280000000.0000	   7.2224	  11.2233	   1.1291	   0.0419
5360000000.0000	   7.0997	  11.1988	   1.1291	   0.0326
5440000000.0000	   7.0011	  11.1265	   1.1239	   0.0301
5520000000.0000	   6.8935	  11.0864	   1.1241	   0.0261
5600000000.0000	   6.8239	  11.0282	   1.1159	   0.0217
5680000000.0000	   6.7099	  10.9556	   1.1172	   0.0181
5760000000.0000	   6.6302	  10.9239	   1.1083	   0.0101
5840000000.0000	   6.5425	  10.8491	   1.1052	   0.0070
5920000000.0000	   6.4665	  10.8158	   1.1026	   0.0004
6000000000.0000	   6.4077	  10.7468	   1.0946	  -0.0067
6080000000.0000	   6.2934	  10.7046	   1.0909	  -0.0134
6160000000.0000	   6.2732	  10.6518	   1.0828	  -0.0174
6240000000.0000	   6.1623	  10.5816	   1.0832	  -0.0251
6320000000.0000	   6.1059	  10.5337	   1.0751	  -0.0343
6400000000.0000	   6.0162	  10.4564	   1.0710	  -0.0383
6480000000.0000	   5.9434	  10.3959	   1.0696	  -0.0484
