frequency	e'	e''	u'	u''
2000000000.0000	   4.1337	   1.8632	   1.2320	   0.1873
2080000000.0000	   4.0827	   1.8575	   1.2323	   0.1804
2160000000.0000	   4.0415	   1.8238	   1.2335	   0.1871
2240000000.0000	   3.9893	   1.8043	   1.2480	   0.1941
2320000000.0000	   3.9482	   1.7982	   1.2426	   0.1849
2400000000.0000	   3.9212	   1.7655	   1.2411	   0.1971
2480000000.0000	   3.8836	   1.7583	   1.2387	   0.1965
2560000000.0000	   3.8652	   1.7324	   1.2276	   0.2013
2640000000.0000	   3.8383	   1.7139	   1.2186	   0.2116
2720000000.0000	   3.8148	   1.7100	   1.2128	   0.2069
2800000000.0000	   3.8153	   1.6829	   1.1905	   0.2163
2880000000.0000	   3.7876	   1.6784	   1.1879	   0.2174
2960000000.0000	   3.7966	   1.6647	   1.1595	   0.2132
3040000000.0000	   3.7732	   1.6442	   1.1579	   0.2254
3120000000.0000	   3.7665	   1.6590	   1.1448	   0.2088
3200000000.0000	   3.7672	   1.6378	   1.1167	   0.2137
3280000000.0000	   3.7478	   1.6447	   1.1174	   0.2141
3360000000.0000	   3.7529	   1.6449	   1.0905	   0.2027
3440000000.0000	   3.7267	   1.6368	   1.0864	   0.2070
3520000000.0000	   3.7299	   1.6562	   1.0723	   0.1898
3600000000.0000	   3.7168	   1.6357	   1.0563	   0.1932
3680000000.0000	   3.6868	   1.6545	   1.0637	   0.1824
3760000000.0000	   3.6875	   1.6622	   1.0396	   0.1656
3840000000.0000	   3.6555	   1.6528	   1.0406	   0.1674
3920000000.0000	   3.6404	   1.6764	   1.0333	   0.1514
4000000000.0000	   3.6178	   1.6643	   1.0308	   0.1499
4080000000.0000	   3.5876	   1.6822	   1.0393	   0.1381
4160000000.0000	   3.5751	   1.6840	   1.0301	   0.1238
4240000000.0000	   3.5408	   1.6762	   1.0381	   0.1294
4320000000.0000	   3.5114	   1.6923	   1.0474	   0.1162
4400000000.0000	   3.4883	   1.6800	   1.0487	   0.1150
4480000000.0000	   3.4463	   1.6869	   1.0637	   0.1120
4560000000.0000	   3.4234	   1.6949	   1.0661	   0.1053
4640000000.0000	   3.3929	   1.6808	   1.0759	   0.1091
4720000000.0000	   3.3529	   1.6945	   1.0929	   0.1064
4800000000.0000	   3.3394	   1.6920	   1.0919	   0.1022
4880000000.0000	   3.2964	   1.6819	   1.1103	   0.1113
4960000000.0000	   3.2747	   1.7007	   1.1129	   0.0995
5040000000.0000	   3.2586	   1.6779	   1.1147	   0.1117
5120000000.0000	   3.2169	   1.6914	   1.1338	   0.1129
5200000000.0000	   3.2113	   1.6878	   1.1241	   0.1084
5280000000.0000	   3.1798	   1.6737	   1.1375	   0.1211
5360000000.0000	   3.1653	   1.6916	   1.1354	   0.1088
5440000000.0000	   3.1543	   1.6689	   1.1276	   0.1185
5520000000.0000	   3.1251	   1.6824	   1.1385	   0.1214
5600000000.0000	   3.1360	   1.6793	   1.1218	   0.1165
5680000000.0000	   3.1157	   1.6587	   1.1300	   0.1278
5760000000.0000	   3.1094	   1.6853	   1.1192	   0.1165
5840000000.0000	   3.1113	   1.6664	   1.1069	   0.1244
5920000000.0000	   3.1014	   1.6829	   1.1125	   0.1208
6000000000.0000	   3.1107	   1.6794	   1.0919	   0.1134
6080000000.0000	   3.0978	   1.6803	   1.0896	   0.1164
6160000000.0000	   3.1011	   1.7005	   1.0813	   0.1098
6240000000.0000	   3.1049	   1.6921	   1.0708	   0.1067
6320000000.0000	   3.0904	   1.7074	   1.0693	   0.1015
6400000000.0000	   3.0982	   1.7184	   1.0534	   0.0936
6480000000.0000	   3.0884	   1.7162	   1.0524	   0.0925
6560000000.0000	   3.0757	   1.7374	   1.0493	   0.0810
6640000000.0000	   3.0741	   1.7472	   1.0380	   0.0730
6720000000.0000	   3.0550	   1.7528	   1.0398	   0.0703
6800000000.0000	   3.0528	   1.7689	   1.0339	   0.0586
6880000000.0000	   3.0414	   1.7651	   1.0320	   0.0566
6960000000.0000	   3.0200	   1.7850	   1.0371	   0.0477
7040000000.0000	   3.0242	   1.7953	   1.0295	   0.0369
7120000000.0000	   2.9927	   1.7925	   1.0348	   0.0391
7200000000.0000	   2.9859	   1.8194	   1.0372	   0.0239
7280000000.0000	   2.9751	   1.8050	   1.0345	   0.0269
7360000000.0000	   2.9343	   1.8242	   1.0479	   0.0192
7440000000.0000	   2.9402	   1.8337	   1.0401	   0.0120
7520000000.0000	   2.9007	   1.8238	   1.0524	   0.0198
7600000000.0000	   2.8860	   1.8483	   1.0565	   0.0054
7680000000.0000	   2.8734	   1.8271	   1.0571	   0.0137
7760000000.0000	   2.8320	   1.8465	   1.0722	   0.0118
7840000000.0000	   2.8356	   1.8421	   1.0691	   0.0078
7920000000.0000	   2.7938	   1.8319	   1.0817	   0.0195
8000000000.0000	   2.7751	   1.8552	   1.0862	   0.0120
8080000000.0000	   2.7660	   1.8333	   1.0863	   0.0230
8160000000.0000	   2.7220	   1.8419	   1.0994	   0.0272
8240000000.0000	   2.7204	   1.8463	   1.0960	   0.0279
8320000000.0000	   2.6881	   1.8321	   1.1066	   0.0406
8400000000.0000	   2.6630	   1.8467	   1.1111	   0.0366
8480000000.0000	   2.6516	   1.8349	   1.1074	   0.0461
8560000000.0000	   2.6086	   1.8393	   1.1156	   0.0572
8640000000.0000	   2.5946	   1.8454	   1.1147	   0.0552
8720000000.0000	   2.5646	   1.8374	   1.1177	   0.0665
8800000000.0000	   2.5259	   1.8508	   1.1225	   0.0679
8880000000.0000	   2.5141	   1.8519	   1.1152	   0.0723
8960000000.0000	   2.4670	   1.8393	   1.1222	   0.0830
9040000000.0000	   2.4394	   1.8594	   1.1207	   0.0753
9120000000.0000	   2.4158	   1.8398	   1.1156	   0.0872
9200000000.0000	   2.3626	   1.8455	   1.1225	   0.0839
9280000000.0000	   2.3525	   1.8437	   1.1107	   0.0849
9360000000.0000	   2.3040	   1.8236	   1.1156	   0.0951
9440000000.0000	   2.2741	   1.8327	   1.1105	   0.0836
9520000000.0000	   2.2547	   1.7996	   1.1022	   0.0921
9600000000.0000	   2.2065	   1.7949	   1.1048	   0.0896
9680000000.0000	   2.2089	   1.7772	   1.0893	   0.0863
9760000000.0000	   2.1723	   1.7374	   1.0918	   0.0974
9840000000.0000	   2.1489	   1.7342	   1.0849	   0.0837
9920000000.0000	   2.1454	   1.6911	   1.0756	   0.0917
10000000000.0000	   2.1176	   1.6781	   1.0788	   0.0859
10080000000.0000	   2.1329	   1.6515	   1.0656	   0.0816
10160000000.0000	   2.1125	   1.6176	   1.0668	   0.0860
10240000000.0000	   2.1066	   1.6064	   1.0604	   0.0748
10320000000.0000	   2.1151	   1.5716	   1.0551	   0.0781
10400000000.0000	   2.0990	   1.5543	   1.0580	   0.0746
10480000000.0000	   2.1131	   1.5339	   1.0514	   0.0683
10560000000.0000	   2.1106	   1.5061	   1.0561	   0.0743
10640000000.0000	   2.1006	   1.4996	   1.0579	   0.0675
10720000000.0000	   2.1211	   1.4791	   1.0539	   0.0687
10800000000.0000	   2.1023	   1.4565	   1.0613	   0.0722
10880000000.0000	   2.1093	   1.4561	   1.0604	   0.0651
10960000000.0000	   2.1143	   1.4308	   1.0618	   0.0743
11040000000.0000	   2.0964	   1.4275	   1.0676	   0.0710
11120000000.0000	   2.1182	   1.4163	   1.0630	   0.0693
11200000000.0000	   2.0965	   1.4018	   1.0707	   0.0803
11280000000.0000	   2.1007	   1.4154	   1.0688	   0.0695
11360000000.0000	   2.1111	   1.3936	   1.0667	   0.0803
11440000000.0000	   2.0878	   1.4041	   1.0750	   0.0776
11520000000.0000	   2.1096	   1.4037	   1.0636	   0.0750
11600000000.0000	   2.0894	   1.3914	   1.0719	   0.0863
11680000000.0000	   2.0918	   1.4216	   1.0661	   0.0775
11760000000.0000	   2.0886	   1.4004	   1.0563	   0.0935
11840000000.0000	   2.0527	   1.4204	   1.0547	   0.0855
11920000000.0000	   2.0721	   1.4165	   1.0245	   0.0763
12000000000.0000	   2.0531	   1.3812	   1.0248	   0.0636
12080000000.0000	   2.0661	   1.4035	   1.0349	   0.0361
12160000000.0000	   2.0815	   1.4004	   1.0357	   0.0414
12240000000.0000	   2.0608	   1.4153	   1.0444	   0.0376
12320000000.0000	   2.0743	   1.4283	   1.0372	   0.0314
12400000000.0000	   2.0584	   1.4214	   1.0397	   0.0369
12480000000.0000	   2.0465	   1.4416	   1.0377	   0.0238
12560000000.0000	   2.0543	   1.4360	   1.0312	   0.0258
12640000000.0000	   2.0288	   1.4360	   1.0354	   0.0219
12720000000.0000	   2.0315	   1.4467	   1.0299	   0.0107
12800000000.0000	   2.0237	   1.4342	   1.0294	   0.0159
12880000000.0000	   2.0021	   1.4414	   1.0345	   0.0050
12960000000.0000	   2.0121	   1.4410	   1.0285	   0.0011
13040000000.0000	   1.9863	   1.4238	   1.0353	   0.0018
13120000000.0000	   1.9824	   1.4408	   1.0337	  -0.0133
13200000000.0000	   1.9854	   1.4129	   1.0316	  -0.0040
13280000000.0000	   1.9530	   1.4191	   1.0407	  -0.0147
13360000000.0000	   1.9749	   1.4215	   1.0309	  -0.0189
13440000000.0000	   1.9507	   1.3959	   1.0394	  -0.0113
13520000000.0000	   1.9547	   1.4170	   1.0389	  -0.0256
13600000000.0000	   1.9694	   1.3849	   1.0343	  -0.0155
13680000000.0000	   1.9412	   1.3859	   1.0459	  -0.0224
13760000000.0000	   1.9708	   1.3858	   1.0357	  -0.0262
13840000000.0000	   1.9588	   1.3551	   1.0423	  -0.0159
13920000000.0000	   1.9676	   1.3751	   1.0413	  -0.0268
14000000000.0000	   1.9827	   1.3483	   1.0348	  -0.0146
14080000000.0000	   1.9630	   1.3559	   1.0394	  -0.0189
14160000000.0000	   1.9912	   1.3562	   1.0274	  -0.0194
14240000000.0000	   1.9785	   1.3371	   1.0312	  -0.0129
14320000000.0000	   1.9876	   1.3436	   1.0269	  -0.0215
14400000000.0000	   2.0053	   1.3229	   1.0260	  -0.0153
14480000000.0000	   1.9949	   1.3222	   1.0324	  -0.0130
14560000000.0000	   2.0116	   1.3295	   1.0300	  -0.0127
14640000000.0000	   2.0047	   1.3184	   1.0258	  -0.0023
14720000000.0000	   1.9983	   1.3205	   1.0219	  -0.0024
14800000000.0000	   2.0037	   1.3144	   1.0180	  -0.0022
14880000000.0000	   1.9923	   1.3018	   1.0195	   0.0011
14960000000.0000	   1.9959	   1.3114	   1.0220	  -0.0026
15040000000.0000	   2.0053	   1.2985	   1.0197	   0.0070
15120000000.0000	   1.9863	   1.3059	   1.0235	   0.0105
15200000000.0000	   1.9990	   1.3204	   1.0156	   0.0100
15280000000.0000	   1.9810	   1.3110	   1.0111	   0.0208
15360000000.0000	   1.9655	   1.3379	   1.0053	   0.0092
15440000000.0000	   1.9648	   1.3290	   0.9927	   0.0120
15520000000.0000	   1.9279	   1.3361	   0.9959	   0.0015
15600000000.0000	   1.9329	   1.3472	   0.9865	  -0.0095
15680000000.0000	   1.9040	   1.3226	   0.9894	  -0.0096
15760000000.0000	   1.8878	   1.3495	   0.9919	  -0.0297
15840000000.0000	   1.8934	   1.3253	   0.9848	  -0.0272
15920000000.0000	   1.8564	   1.3259	   0.9961	  -0.0380
16000000000.0000	   1.8724	   1.3338	   0.9885	  -0.0457
16080000000.0000	   1.8482	   1.3079	   0.9959	  -0.0433
16160000000.0000	   1.8463	   1.3233	   0.9957	  -0.0569
16240000000.0000	   1.8557	   1.3005	   0.9932	  -0.0501
16320000000.0000	   1.8368	   1.2977	   1.0008	  -0.0577
16400000000.0000	   1.8508	   1.2924	   0.9955	  -0.0617
16480000000.0000	   1.8432	   1.2727	   0.9979	  -0.0570
16560000000.0000	   1.8506	   1.2776	   0.9977	  -0.0635
16640000000.0000	   1.8633	   1.2565	   0.9954	  -0.0580
16720000000.0000	   1.8547	   1.2459	   0.9981	  -0.0594
16800000000.0000	   1.8683	   1.2410	   0.9940	  -0.0602
16880000000.0000	   1.8702	   1.2240	   0.9942	  -0.0549
16960000000.0000	   1.8748	   1.2167	   0.9942	  -0.0582
17040000000.0000	   1.8853	   1.2082	   0.9912	  -0.0560
17120000000.0000	   1.8843	   1.1894	   0.9922	  -0.0509
17200000000.0000	   1.8859	   1.1924	   0.9924	  -0.0564
17280000000.0000	   1.9004	   1.1780	   0.9873	  -0.0505
17360000000.0000	   1.8891	   1.1706	   0.9935	  -0.0520
17440000000.0000	   1.9029	   1.1760	   0.9889	  -0.0533
17520000000.0000	   1.8950	   1.1540	   0.9920	  -0.0487
17600000000.0000	   1.8918	   1.1675	   0.9928	  -0.0569
17680000000.0000	   1.9064	   1.1510	   0.9884	  -0.0505
17760000000.0000	   1.8839	   1.1506	   0.9977	  -0.0544
17840000000.0000	   1.9018	   1.1579	   0.9901	  -0.0587
17920000000.0000	   1.8874	   1.1363	   0.9969	  -0.0537
18000000000.0000	   1.8830	   1.1634	   0.9987	  -0.0646
